"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2035,1,"A","RR","LREC","OldElecGHG",202.235108117393,"Elec Existing","Elec Existing"
2036,1,"A","RR","LREC","OldElecGHG",191.140989607214,"Elec Existing","Elec Existing"
2037,1,"A","RR","LREC","OldElecGHG",180.413128875786,"Elec Existing","Elec Existing"
2038,1,"A","RR","LREC","OldElecGHG",170.009667629229,"Elec Existing","Elec Existing"
2039,1,"A","RR","LREC","OldElecGHG",159.888747573665,"Elec Existing","Elec Existing"
2040,1,"A","RR","LREC","OldElecGHG",150.008510415215,"Elec Existing","Elec Existing"
2041,1,"A","RR","LREC","OldElecGHG",140.36100521756,"Elec Existing","Elec Existing"
2042,1,"A","RR","LREC","OldElecGHG",131.073910474626,"Elec Existing","Elec Existing"
2043,1,"A","RR","LREC","OldElecGHG",122.308812037898,"Elec Existing","Elec Existing"
2044,1,"A","RR","LREC","OldElecGHG",114.22729575886,"Elec Existing","Elec Existing"
2045,1,"A","RR","LREC","OldElecGHG",106.990947489,"Elec Existing","Elec Existing"
2046,1,"A","RR","LREC","OldElecGHG",100.718010433898,"Elec Existing","Elec Existing"
2047,1,"A","RR","LREC","OldElecGHG",95.3533572155168,"Elec Existing","Elec Existing"
2048,1,"A","RR","LREC","OldElecGHG",90.798517809917,"Elec Existing","Elec Existing"
2049,1,"A","RR","LREC","OldElecGHG",86.9550221931576,"Elec Existing","Elec Existing"
2050,1,"A","RR","LREC","OldElecGHG",83.7244003412978,"Elec Existing","Elec Existing"
2051,1,"A","RR","LREC","OldElecGHG",81.0064179417945,"Elec Existing","Elec Existing"
2052,1,"A","RR","LREC","OldElecGHG",78.6937835276945,"Elec Existing","Elec Existing"
2053,1,"A","RR","LREC","OldElecGHG",76.6774413434423,"Elec Existing","Elec Existing"
2054,1,"A","RR","LREC","OldElecGHG",74.8483356334821,"Elec Existing","Elec Existing"
2055,1,"A","RR","LREC","OldElecGHG",73.0974106422583,"Elec Existing","Elec Existing"
2056,1,"A","RR","LREC","OldElecGHG",71.3159634719358,"Elec Existing","Elec Existing"
2057,1,"A","RR","LREC","OldElecGHG",69.3967026555614,"Elec Existing","Elec Existing"
2058,1,"A","RR","LREC","OldElecGHG",67.2326895839025,"Elec Existing","Elec Existing"
2059,1,"A","RR","LREC","OldElecGHG",64.7169856477265,"Elec Existing","Elec Existing"
2060,1,"A","RR","LREC","OldElecGHG",61.7426522378006,"Elec Existing","Elec Existing"
2020,1,"A","RR","LREC","NewElecGHG",0,"Elec New","Elec New"
2021,1,"A","RR","LREC","NewElecGHG",8.11183290761715,"Elec New","Elec New"
2022,1,"A","RR","LREC","NewElecGHG",15.0571013956227,"Elec New","Elec New"
2023,1,"A","RR","LREC","NewElecGHG",20.9347352759706,"Elec New","Elec New"
2024,1,"A","RR","LREC","NewElecGHG",25.8436643606149,"Elec New","Elec New"
2025,1,"A","RR","LREC","NewElecGHG",29.8828184615098,"Elec New","Elec New"
2026,1,"A","RR","LREC","NewElecGHG",33.1539735690948,"Elec New","Elec New"
2027,1,"A","RR","LREC","NewElecGHG",35.7702903877522,"Elec New","Elec New"
2028,1,"A","RR","LREC","NewElecGHG",37.8477758003497,"Elec New","Elec New"
2029,1,"A","RR","LREC","NewElecGHG",39.5024366897553,"Elec New","Elec New"
2030,1,"A","RR","LREC","NewElecGHG",40.8502799388367,"Elec New","Elec New"
2031,1,"A","RR","LREC","NewElecGHG",41.9930815380336,"Elec New","Elec New"
2032,1,"A","RR","LREC","NewElecGHG",42.9756939080731,"Elec New","Elec New"
